frame= 1120 fps= 30 q=21.0 size=   33536kB time=00:00:35.36 bitrate=7768.0kbits/s speed=0.949x    
frame= 1136 fps= 30 q=21.0 size=   34048kB time=00:00:35.90 bitrate=7769.4kbits/s speed=0.949x    
frame= 1152 fps= 30 q=21.0 size=   34560kB time=00:00:36.43 bitrate=7770.8kbits/s speed=0.95x    
frame= 1168 fps= 30 q=21.0 size=   35072kB time=00:00:36.96 bitrate=7772.1kbits/s speed=0.951x    
frame= 1184 fps= 30 q=21.0 size=   35584kB time=00:00:37.50 bitrate=7773.4kbits/s speed=0.952x    
frame= 1199 fps= 30 q=21.0 size=   36096kB time=00:00:38.00 bitrate=7781.5kbits/s speed=0.952x    
frame= 1215 fps= 30 q=21.0 size=   36608kB time=00:00:38.53 bitrate=7782.7kbits/s speed=0.953x    
frame= 1231 fps= 30 q=21.0 size=   37120kB time=00:00:39.06 bitrate=7783.8kbits/s speed=0.953x    
frame= 1246 fps= 30 q=21.0 size=   37888kB time=00:00:39.56 bitrate=7844.4kbits/s speed=0.954x    
frame= 1262 fps= 30 q=21.0 size=   38400kB time=00:00:40.10 bitrate=7844.7kbits/s speed=0.955x    
frame= 1278 fps= 30 q=21.0 size=   38912kB time=00:00:40.63 bitrate=7845.0kbits/s speed=0.955x    
frame= 1294 fps= 30 q=21.0 size=   39424kB time=00:00:41.16 bitrate=7845.2kbits/s speed=0.956x    
frame= 1309 fps= 30 q=21.0 size=   39936kB time=00:00:41.66 bitrate=7851.7kbits/s speed=0.956x    
frame= 1325 fps= 30 q=21.0 size=   40448kB time=00:00:42.20 bitrate=7851.9kbits/s speed=0.957x    
frame= 1340 fps= 30 q=21.0 size=   40960kB time=00:00:42.70 bitrate=7858.2kbits/s speed=0.957x    
frame= 1356 fps= 30 q=21.0 size=   41472kB time=00:00:43.23 bitrate=7858.3kbits/s speed=0.958x    
frame= 1372 fps= 30 q=21.0 size=   41984kB time=00:00:43.76 bitrate=7858.3kbits/s speed=0.958x    
frame= 1388 fps= 30 q=21.0 size=   42496kB time=00:00:44.30 bitrate=7858.4kbits/s speed=0.959x    
frame= 1403 fps= 30 q=21.0 size=   42752kB time=00:00:44.80 bitrate=7817.5kbits/s speed=0.959x    
frame= 1419 fps= 30 q=21.0 size=   43264kB time=00:00:45.33 bitrate=7818.1kbits/s speed=0.96x    
frame= 1434 fps= 30 q=21.0 size=   44032kB time=00:00:45.83 bitrate=7870.0kbits/s speed=0.96x    
frame= 1450 fps= 30 q=21.0 size=   44544kB time=00:00:46.36 bitrate=7870.0kbits/s speed=0.96x    
frame= 1466 fps= 30 q=21.0 size=   45056kB time=00:00:46.90 bitrate=7869.9kbits/s speed=0.961x    
frame= 1481 fps= 30 q=21.0 size=   45568kB time=00:00:47.40 bitrate=7875.4kbits/s speed=0.961x    
frame= 1497 fps= 30 q=21.0 size=   46080kB time=00:00:47.93 bitrate=7875.3kbits/s speed=0.962x    
frame= 1512 fps= 30 q=21.0 size=   46592kB time=00:00:48.43 bitrate=7880.6kbits/s speed=0.962x    
frame= 1527 fps= 30 q=21.0 size=   47104kB time=00:00:48.93 bitrate=7885.7kbits/s speed=0.962x    
frame= 1542 fps= 30 q=21.0 size=   47616kB time=00:00:49.43 bitrate=7890.8kbits/s speed=0.963x    
frame= 1558 fps= 30 q=21.0 size=   48384kB time=00:00:49.96 bitrate=7932.5kbits/s speed=0.963x    
frame= 1574 fps= 30 q=21.0 size=   48896kB time=00:00:50.50 bitrate=7931.8kbits/s speed=0.964x    
frame= 1589 fps= 30 q=21.0 size=   49152kB time=00:00:51.00 bitrate=7895.2kbits/s speed=0.964x    
frame= 1605 fps= 30 q=21.0 size=   49920kB time=00:00:51.53 bitrate=7935.5kbits/s speed=0.964x    
frame= 1620 fps= 30 q=21.0 size=   50432kB time=00:00:52.03 bitrate=7939.9kbits/s speed=0.965x    
frame= 1636 fps= 30 q=21.0 size=   50944kB time=00:00:52.56 bitrate=7939.1kbits/s speed=0.965x    
frame= 1652 fps= 30 q=21.0 size=   51712kB time=00:00:53.10 bitrate=7977.9kbits/s speed=0.965x    
frame= 1668 fps= 30 q=21.0 size=   52224kB time=00:00:53.63 bitrate=7976.7kbits/s speed=0.966x    
frame= 1683 fps= 30 q=21.0 size=   52736kB time=00:00:54.13 bitrate=7980.5kbits/s speed=0.966x    
frame= 1699 fps= 30 q=21.0 size=   53504kB time=00:00:54.66 bitrate=8017.8kbits/s speed=0.966x    
frame= 1714 fps= 30 q=21.0 size=   54016kB time=00:00:55.16 bitrate=8021.1kbits/s speed=0.967x    
frame= 1730 fps= 30 q=21.0 size=   54784kB time=00:00:55.70 bitrate=8057.3kbits/s speed=0.967x    
frame= 1745 fps= 30 q=21.0 size=   55296kB time=00:00:56.20 bitrate=8060.2kbits/s speed=0.967x    
frame= 1760 fps= 30 q=21.0 size=   56064kB time=00:00:56.70 bitrate=8100.1kbits/s speed=0.967x    
frame= 1776 fps= 30 q=21.0 size=   56576kB time=00:00:57.23 bitrate=8097.9kbits/s speed=0.968x    
frame= 1792 fps= 30 q=21.0 size=   57344kB time=00:00:57.76 bitrate=8132.1kbits/s speed=0.968x    
