# Typealike Interactions
#<time>,E,experiment,{type:start, participantid:<participantId>, study:<studyId>, datetime:<time>}
#<time>,E,experiment,{type:end, participantid:<participantId>, score:<score>, datetime:<time>, duration:<duration>}
#<time>,E,block,{type:start, num:<blockNum>, numBlocks:<numBlocks>, datetime:<time>}
#<time>,E,block,{type:end, num:<blockNum>, datetime:<time>, duration:<numSeconds>}
#<time>,E,sequence,{type:start, blockNum:<blockNum>, num:<sequenceNum>, datetime:<time>, taskOrder:<taskOrderIndex>}
#<time>,E,sequence,{type:end, num:<sequenceNum>, datetime:<time>, duration:<numSeconds>}
#<time>,E,trial,{type:start, label:<labelName>, targetType:<targetType>, datetime:<time>, sequenceNum:<sequenceNum>, blockNum:<blockNum>, num:<targetNum>, startX:<startX>, startY:<startY>, width:<targetWidth>, height:<targetHeight>}
#<time>,E,trial,{type:end, label:<labelName>, action:<hit/miss>, targetType:<targetType>, num:<taskNum>, blockNum:<blockNum>, sequenceNum:<sequenceNum>, datetime:<time>, duration:<numSeconds>}
#<time>,M,video, datetime:<time>
# schema,{type:I, subtype:key, data:[event, keyname, modifierkey], type:[str,str], description:[<pressed/released>, <keycode>, <Shift/Ctrl/Alt/none>] }
# schema,{type:I, subtype:mouse, data:[event, x, y], type:[str, int,int], description:[moved/pressed/released,<x-coordinate>,<y-coordinate>]}
# schema,{type:I, subtype:posture, data:[name], type:[str], description:[<posture name>] }
# START LOG
1566947066767,E,experiment,{"type":"start","participantid":"pilot","study":"two","datetime":"2019-08-27T23:04:26.746Z"}
1566947066836,E,block,{"type":"start","num":"0","numBlocks":"6","datetime":"2019-08-27T23:04:26.836Z"}
1566947067487,I,keyboard,keypressed,157,none
1566947071253,I,mouse,moved,881,413
1566947071253,I,mouse,moved,881,413
1566947071291,I,mouse,moved,884,410
1566947071291,I,mouse,moved,884,410
1566947071292,I,mouse,moved,887,405
1566947071292,I,mouse,moved,887,405
1566947071292,I,mouse,moved,891,399
1566947071292,I,mouse,moved,891,399
1566947071292,I,mouse,moved,895,395
1566947071293,I,mouse,moved,895,395
1566947071293,I,mouse,moved,898,390
1566947071293,I,mouse,moved,898,390
1566947071322,I,mouse,moved,902,386
1566947071322,I,mouse,moved,902,386
1566947071323,I,mouse,moved,905,383
1566947071323,I,mouse,moved,905,383
1566947071323,I,mouse,moved,908,380
1566947071323,I,mouse,moved,908,380
1566947071323,I,mouse,moved,910,379
1566947071357,I,mouse,moved,910,379
1566947071357,I,mouse,moved,912,377
1566947071357,I,mouse,moved,912,377
1566947071358,I,mouse,moved,915,374
1566947071358,I,mouse,moved,915,374
1566947071358,I,mouse,moved,918,372
1566947071358,I,mouse,moved,918,372
1566947071358,I,mouse,moved,919,371
1566947071358,I,mouse,moved,919,371
1566947071387,I,mouse,moved,920,370
1566947071388,I,mouse,moved,920,370
1566947071388,I,mouse,moved,921,369
1566947071388,I,mouse,moved,921,369
1566947071388,I,mouse,moved,921,369
1566947071388,I,mouse,moved,921,369
1566947071388,I,mouse,moved,922,369
1566947071420,I,mouse,moved,922,369
1566947071420,I,mouse,moved,922,369
1566947071420,I,mouse,moved,922,369
1566947071421,I,mouse,moved,922,368
1566947071421,I,mouse,moved,922,368
1566947071421,I,mouse,moved,922,368
1566947071421,I,mouse,moved,922,368
1566947071456,I,mouse,moved,922,368
1566947071456,I,mouse,moved,922,368
1566947071489,I,mouse,moved,922,368
1566947071489,I,mouse,moved,922,368
1566947071520,I,mouse,moved,922,367
1566947071520,I,mouse,moved,922,367
1566947071590,I,mouse,moved,922,367
1566947071591,I,mouse,moved,922,367
1566947071591,I,mouse,mousepressed,922,367
1566947071722,E,sequence,{"type":"start","blockNum":"0","num":"0","taskOrder":"0","datetime":"2019-08-27T23:04:31.722Z"}
1566947071723,E,trial,{"type":"start","label":"click me","targetType":"click","sequenceNum":"0","blockNum":"0","num":"0","startX":"173","startY":"0","width":"100","height":"100","datetime":"2019-08-27T23:04:31.723Z"}
1566947072526,I,mouse,moved,914,367
1566947072526,I,mouse,moved,914,367
1566947072526,I,mouse,moved,902,367
1566947072526,I,mouse,moved,902,367
1566947072559,I,mouse,moved,888,367
1566947072559,I,mouse,moved,888,367
1566947072559,I,mouse,moved,873,367
1566947072560,I,mouse,moved,873,367
1566947072560,I,mouse,moved,856,369
1566947072560,I,mouse,moved,856,369
1566947072560,I,mouse,moved,839,370
1566947072560,I,mouse,moved,839,370
1566947072560,I,mouse,moved,821,373
1566947072591,I,mouse,moved,821,373
1566947072591,I,mouse,moved,803,376
1566947072591,I,mouse,moved,803,376
1566947072591,I,mouse,moved,765,382
1566947072591,I,mouse,moved,765,382
1566947072592,I,mouse,moved,727,389
1566947072592,I,mouse,moved,727,389
1566947072592,I,mouse,moved,691,398
1566947072624,I,mouse,moved,691,398
1566947072625,I,mouse,moved,653,407
1566947072625,I,mouse,moved,653,407
1566947072625,I,mouse,moved,618,417
1566947072625,I,mouse,moved,618,417
1566947072625,I,mouse,moved,583,426
1566947072625,I,mouse,moved,583,426
1566947072625,I,mouse,moved,552,436
1566947072656,I,mouse,moved,552,436
1566947072656,I,mouse,moved,540,439
1566947072656,I,mouse,moved,540,439
1566947072656,I,mouse,moved,515,446
1566947072656,I,mouse,moved,515,446
1566947072656,I,mouse,moved,492,452
1566947072657,I,mouse,moved,492,452
1566947072657,I,mouse,moved,470,456
1566947072690,I,mouse,moved,470,456
1566947072691,I,mouse,moved,453,459
1566947072691,I,mouse,moved,453,459
1566947072691,I,mouse,moved,446,460
1566947072691,I,mouse,moved,446,460
1566947072691,I,mouse,moved,433,462
1566947072691,I,mouse,moved,433,462
1566947072691,I,mouse,moved,423,463
1566947072691,I,mouse,moved,423,463
1566947072722,I,mouse,moved,420,464
1566947072723,I,mouse,moved,420,464
1566947072723,I,mouse,moved,413,465
1566947072723,I,mouse,moved,413,465
1566947072723,I,mouse,moved,403,466
1566947072723,I,mouse,moved,403,466
1566947072723,I,mouse,moved,402,466
1566947072755,I,mouse,moved,402,466
1566947072755,I,mouse,moved,398,467
1566947072755,I,mouse,moved,398,467
1566947072755,I,mouse,moved,393,468
1566947072755,I,mouse,moved,393,468
1566947072755,I,mouse,moved,390,469
1566947072755,I,mouse,moved,390,469
1566947072755,I,mouse,moved,387,469
1566947072789,I,mouse,moved,387,469
1566947072789,I,mouse,moved,383,470
1566947072789,I,mouse,moved,383,470
1566947072789,I,mouse,moved,379,470
1566947072789,I,mouse,moved,379,470
1566947072789,I,mouse,moved,376,471
1566947072789,I,mouse,moved,376,471
1566947072789,I,mouse,moved,371,471
1566947072821,I,mouse,moved,371,471
1566947072821,I,mouse,moved,366,471
1566947072821,I,mouse,moved,366,471
1566947072821,I,mouse,moved,361,471
1566947072821,I,mouse,moved,361,471
1566947072821,I,mouse,moved,355,471
1566947072822,I,mouse,moved,355,471
1566947072822,I,mouse,moved,350,471
1566947072856,I,mouse,moved,350,471
1566947072856,I,mouse,moved,344,471
1566947072856,I,mouse,moved,344,471
1566947072856,I,mouse,moved,339,470
1566947072856,I,mouse,moved,339,470
1566947072856,I,mouse,moved,335,469
1566947072856,I,mouse,moved,335,469
1566947072856,I,mouse,moved,330,468
1566947072856,I,mouse,moved,330,468
1566947072887,I,mouse,moved,326,466
1566947072887,I,mouse,moved,326,466
1566947072887,I,mouse,moved,325,465
1566947072887,I,mouse,moved,325,465
1566947072887,I,mouse,moved,322,465
1566947072887,I,mouse,moved,322,465
1566947072887,I,mouse,moved,319,464
1566947072887,I,mouse,moved,319,464
1566947072925,I,mouse,mousepressed,319,464
1566947073022,I,mouse,mousereleased,317,463
1566947073028,E,trial,{"type":"end","label":"click me","action":"hit","currScore":"0","targetType":"click","num":"0","sequenceNum":"0","blockNum":"0","datetime":"2019-08-27T23:04:33.024Z","duration":"PT1.301S"}
1566947073058,E,trial,{"type":"start","label":"Left_Close_0_On","targetType":"posture","sequenceNum":"0","blockNum":"0","num":"1","startX":"590","startY":"0","width":"100","height":"100","datetime":"2019-08-27T23:04:33.058Z"}
1566947074734,I,keyboard,keypressed,69,none
1566947074764,I,keyboard,keyreleased,69,none
1566947074798,I,posture,Left_Close_0_On
1566947074799,E,trial,{"type":"end","label":"Left_Close_0_On","action":"hit","currScore":"10","targetType":"posture","num":"1","sequenceNum":"0","blockNum":"0","datetime":"2019-08-27T23:04:34.799Z","duration":"PT1.741S"}
1566947074823,E,sequence,{"type":"end","num":"1","datetime":"2019-08-27T23:04:34.823Z","duration":"PT3.101S"}
1566947074823,E,sequence,{"type":"start","blockNum":"0","num":"1","taskOrder":"1","datetime":"2019-08-27T23:04:34.823Z"}
1566947074823,E,trial,{"type":"start","label":"fresh","targetType":"word","sequenceNum":"1","blockNum":"0","num":"0","startX":"1254","startY":"0","width":"100","height":"100","datetime":"2019-08-27T23:04:34.823Z"}
1566947076122,I,keyboard,keypressed,70,none
1566947076222,I,keyboard,keyreleased,70,none
1566947076292,I,keyboard,keypressed,82,none
1566947076390,I,keyboard,keyreleased,82,none
1566947076456,I,keyboard,keypressed,69,none
1566947076590,I,keyboard,keyreleased,69,none
1566947076653,I,keyboard,keypressed,83,none
1566947076790,I,keyboard,keypressed,72,none
1566947076823,I,keyboard,keyreleased,83,none
1566947076857,I,keyboard,keyreleased,72,none
1566947077055,E,trial,{"type":"end","label":"fresh","action":"hit","currScore":"20","targetType":"word","num":"0","sequenceNum":"1","blockNum":"0","datetime":"2019-08-27T23:04:37.055Z","duration":"PT2.232S"}
1566947077086,E,trial,{"type":"start","label":"Left_Close_0_Below","targetType":"posture","sequenceNum":"1","blockNum":"0","num":"1","startX":"590","startY":"0","width":"100","height":"100","datetime":"2019-08-27T23:04:37.086Z"}
1566947077198,I,keyboard,keyreleased,10,none
1566947078170,I,posture,Left_Close_0_Below
1566947078171,E,trial,{"type":"end","label":"Left_Close_0_Below","action":"hit","currScore":"30","targetType":"posture","num":"1","sequenceNum":"1","blockNum":"0","datetime":"2019-08-27T23:04:38.170Z","duration":"PT1.084S"}
1566947078188,E,sequence,{"type":"end","num":"2","datetime":"2019-08-27T23:04:38.188Z","duration":"PT3.365S"}
1566947078188,E,sequence,{"type":"start","blockNum":"0","num":"2","taskOrder":"2","datetime":"2019-08-27T23:04:38.188Z"}
1566947078189,E,trial,{"type":"start","label":"click me","targetType":"click","sequenceNum":"2","blockNum":"0","num":"0","startX":"489","startY":"0","width":"100","height":"100","datetime":"2019-08-27T23:04:38.188Z"}
1566947079124,I,mouse,moved,324,461
1566947079124,I,mouse,moved,324,461
1566947079124,I,mouse,moved,339,456
1566947079124,I,mouse,moved,339,456
1566947079124,I,mouse,moved,354,450
1566947079124,I,mouse,moved,354,450
1566947079158,I,mouse,moved,368,447
1566947079158,I,mouse,moved,368,447
1566947079158,I,mouse,moved,384,442
1566947079158,I,mouse,moved,384,442
1566947079158,I,mouse,moved,400,437
1566947079158,I,mouse,moved,400,437
1566947079158,I,mouse,moved,417,434
1566947079159,I,mouse,moved,417,434
1566947079190,I,mouse,moved,433,431
1566947079190,I,mouse,moved,433,431
1566947079190,I,mouse,moved,463,426
1566947079190,I,mouse,moved,463,426
1566947079190,I,mouse,moved,475,425
1566947079190,I,mouse,moved,475,425
1566947079190,I,mouse,moved,497,422
1566947079190,I,mouse,moved,497,422
1566947079223,I,mouse,moved,505,421
1566947079223,I,mouse,moved,505,421
1566947079223,I,mouse,moved,520,421
1566947079224,I,mouse,moved,520,421
1566947079224,I,mouse,moved,523,421
1566947079224,I,mouse,moved,523,421
1566947079224,I,mouse,moved,531,420
1566947079224,I,mouse,moved,531,420
1566947079224,I,mouse,moved,537,420
1566947079257,I,mouse,moved,537,420
1566947079257,I,mouse,moved,540,420
1566947079257,I,mouse,moved,540,420
1566947079257,I,mouse,moved,542,420
1566947079257,I,mouse,moved,542,420
1566947079257,I,mouse,moved,543,420
1566947079257,I,mouse,moved,543,420
1566947079257,I,mouse,moved,544,420
1566947079290,I,mouse,moved,544,420
1566947079290,I,mouse,moved,544,420
1566947079290,I,mouse,moved,544,420
1566947079290,I,mouse,moved,544,420
1566947079290,I,mouse,moved,544,420
1566947079290,I,mouse,moved,544,420
1566947079290,I,mouse,moved,544,420
1566947079320,I,mouse,moved,544,419
1566947079320,I,mouse,moved,544,419
1566947079320,I,mouse,moved,544,419
1566947079320,I,mouse,moved,544,419
1566947079320,I,mouse,mousepressed,544,419
1566947079456,I,mouse,mousereleased,544,419
1566947079456,E,trial,{"type":"end","label":"click me","action":"hit","currScore":"40","targetType":"click","num":"0","sequenceNum":"2","blockNum":"0","datetime":"2019-08-27T23:04:39.456Z","duration":"PT1.268S"}
1566947079488,E,trial,{"type":"start","label":"Left_Close_0_Beside","targetType":"posture","sequenceNum":"2","blockNum":"0","num":"1","startX":"590","startY":"0","width":"100","height":"100","datetime":"2019-08-27T23:04:39.488Z"}
1566947080537,I,posture,Left_Close_0_Beside
1566947080537,E,trial,{"type":"end","label":"Left_Close_0_Beside","action":"hit","currScore":"50","targetType":"posture","num":"1","sequenceNum":"2","blockNum":"0","datetime":"2019-08-27T23:04:40.537Z","duration":"PT1.049S"}
1566947080556,E,sequence,{"type":"end","num":"3","datetime":"2019-08-27T23:04:40.556Z","duration":"PT2.368S"}
1566947080556,E,sequence,{"type":"start","blockNum":"0","num":"3","taskOrder":"3","datetime":"2019-08-27T23:04:40.556Z"}
1566947080556,E,trial,{"type":"start","label":"Mavis","targetType":"word","sequenceNum":"3","blockNum":"0","num":"0","startX":"527","startY":"0","width":"100","height":"100","datetime":"2019-08-27T23:04:40.556Z"}
1566947081690,I,keyboard,keypressed,77,Shift
1566947081724,I,keyboard,keyreleased,16,none
1566947081755,I,keyboard,keyreleased,77,none
1566947081787,I,keyboard,keypressed,65,none
1566947081921,I,keyboard,keyreleased,65,none
1566947082088,I,keyboard,keypressed,86,none
1566947082158,I,keyboard,keyreleased,86,none
1566947082323,I,keyboard,keypressed,73,none
1566947082427,I,keyboard,keyreleased,73,none
1566947082457,I,keyboard,keypressed,83,none
1566947082590,I,keyboard,keyreleased,83,none
1566947082724,E,trial,{"type":"end","label":"Mavis","action":"hit","currScore":"60","targetType":"word","num":"0","sequenceNum":"3","blockNum":"0","datetime":"2019-08-27T23:04:42.724Z","duration":"PT2.168S"}
1566947082757,E,trial,{"type":"start","label":"Left_Close_90_On","targetType":"posture","sequenceNum":"3","blockNum":"0","num":"1","startX":"590","startY":"0","width":"100","height":"100","datetime":"2019-08-27T23:04:42.757Z"}
1566947082866,I,keyboard,keyreleased,10,none
