,Unnamed: 0,Participant,Block,Sequence,Sub_Sequence,Trial,Target_Type,Target_Name,Start_Time,End_Time,First_Reaction_Time,Mode_In_Time,Mode_Out_Time,Execution_Time,Reference_Action_Count,Incorrect_Action_Count,Error,IV_Surface,IV_Orientation,IV_Form,IV_Hand,Reference_Task
1,1,participant_31,0,0,0,1,posture,Left_Close_0_On,1567118995331,1567118996645,1567118996645,1335,1758,3093,26,4,False,On,180,Close,Left,click
3,3,participant_31,0,0,1,3,posture,Left_Close_0_Below,1567118999434,1567119001175,1567119001175,2772,2024,4796,24,0,False,Below,180,Close,Left,word
5,5,participant_31,0,0,2,5,posture,Left_Close_0_Beside,1567119003230,1567119004877,1567119004877,1678,1523,3201,28,0,False,Beside,180,Close,Left,click
9,9,participant_31,0,0,4,9,posture,Left_Close_90_Below,1567119014167,1567119015578,1567119015578,3313,1688,5001,23,8,False,Below,90,Close,Left,word
11,11,participant_31,0,0,5,11,posture,Left_Close_90_Beside,1567119017302,1567119019044,1567119019044,1778,1421,3199,27,0,False,Beside,90,Close,Left,click
13,13,participant_31,0,0,6,13,posture,Left_Close_180_On,1567119021497,1567119022945,1567119022945,2480,2188,4668,19,14,False,On,0,Close,Left,word
15,15,participant_31,0,0,7,15,posture,Left_Close_180_Below,1567119025165,1567119026511,1567119026511,1378,1254,2632,25,9,False,Below,0,Close,Left,click
17,17,participant_31,0,0,8,17,posture,Left_Close_180_Beside,1567119027798,1567119029476,1567119029476,1711,1425,3136,18,22,False,Beside,0,Close,Left,click
19,19,participant_31,0,0,9,19,posture,Left_Open_0_On,1567119032631,1567119033779,1567119033779,2878,1522,4400,20,7,False,On,180,Open,Left,word
21,21,participant_31,0,0,10,21,posture,Left_Open_0_Below,1567119036532,1567119037814,1567119037814,2513,1486,3999,20,8,False,Below,180,Open,Left,word
23,23,participant_31,0,0,11,23,posture,Left_Open_0_Beside,1567119039333,1567119040676,1567119040676,1376,1224,2600,25,0,False,Beside,180,Open,Left,click
25,25,participant_31,0,0,12,25,posture,Left_Open_90_On,1567119042998,1567119044677,1567119044677,2777,1956,4733,18,4,False,On,90,Open,Left,word
27,27,participant_31,0,0,13,27,posture,Left_Open_90_Below,1567119046667,1567119047877,1567119047877,1244,1260,2504,23,0,False,Below,90,Open,Left,click
29,29,participant_31,0,0,14,29,posture,Left_Open_90_Beside,1567119050198,1567119051349,1567119051349,2212,1287,3499,23,4,False,Beside,90,Open,Left,word
31,31,participant_31,0,0,15,31,posture,Left_Open_180_On,1567119052665,1567119053946,1567119053946,1310,125,1435,2,0,False,On,0,Open,Left,click
33,33,participant_31,0,0,16,33,posture,Left_Open_180_Below,1567119059002,1567119060543,1567119060543,6472,1196,7668,23,13,False,Below,0,Open,Left,word
35,35,participant_31,0,0,17,35,posture,Left_Open_180_Beside,1567119063037,1567119065578,1567119065578,3839,2059,5898,21,22,False,Beside,0,Open,Left,word
37,37,participant_31,0,0,18,37,posture,Right_Close_0_On,1567119067666,1567119069147,1567119069147,1510,1457,2967,27,0,False,On,180,Close,Right,click
39,39,participant_31,0,0,19,39,posture,Right_Close_0_Below,1567119070632,1567119075811,1567119075811,5207,1356,6563,30,0,False,Below,180,Close,Right,click
41,41,participant_31,0,0,20,41,posture,Right_Close_0_Beside,1567119078200,1567119079744,1567119079744,2577,1360,3937,24,3,False,Beside,180,Close,Right,word
43,43,participant_31,0,0,21,43,posture,Right_Close_90_On,1567119081136,1567119082215,1567119082215,1111,1286,2397,30,0,False,On,90,Close,Right,click
45,45,participant_31,0,0,22,45,posture,Right_Close_90_Below,1567119084503,1567119085415,1567119085415,1914,2620,4534,24,0,False,Below,90,Close,Right,word
47,47,participant_31,0,0,23,47,posture,Right_Close_90_Beside,1567119088071,1567119089481,1567119089481,1446,1452,2898,27,4,False,Beside,90,Close,Right,click
49,49,participant_31,0,0,24,49,posture,Right_Close_180_On,1567119090970,1567119092416,1567119092416,1483,1519,3002,24,4,False,On,0,Close,Right,click
51,51,participant_31,0,0,25,51,posture,Right_Close_180_Below,1567119093967,1567119095114,1567119095114,1179,1756,2935,30,0,False,Below,0,Close,Right,click
53,53,participant_31,0,0,26,53,posture,Right_Close_180_Beside,1567119097867,1567119099179,1567119099179,2309,1390,3699,15,14,False,Beside,0,Close,Right,word
55,55,participant_31,0,0,27,55,posture,Right_Open_0_On,1567119100603,1567119101715,1567119101715,1146,1152,2298,15,0,False,On,180,Open,Right,click
57,57,participant_31,0,0,28,57,posture,Right_Open_0_Below,1567119104036,1567119107749,1567119107749,4882,1253,6135,30,0,False,Below,180,Open,Right,word
59,59,participant_31,0,0,29,59,posture,Right_Open_0_Beside,1567119110201,1567119111486,1567119111486,2484,1517,4001,19,12,False,Beside,180,Open,Right,word
61,61,participant_31,0,0,30,61,posture,Right_Open_90_On,1567119113036,1567119114181,1567119114181,1178,1156,2334,25,3,False,On,90,Open,Right,click
63,63,participant_31,0,0,31,63,posture,Right_Open_90_Below,1567119116072,1567119117052,1567119117052,1715,1252,2967,9,8,False,Below,90,Open,Right,word
65,65,participant_31,0,0,32,65,posture,Right_Open_90_Beside,1567119119102,1567119120282,1567119120282,1978,1319,3297,19,8,False,Beside,90,Open,Right,word
67,67,participant_31,0,0,33,67,posture,Right_Open_180_On,1567119121638,1567119123116,1567119123116,1515,1189,2704,24,8,False,On,0,Open,Right,click
69,69,participant_31,0,0,34,69,posture,Right_Open_180_Below,1567119128372,1567119129784,1567119129784,5479,1891,7370,27,8,False,Below,0,Open,Right,word
71,71,participant_31,0,0,35,71,posture,Right_Open_180_Beside,1567119131705,1567119134484,1567119134484,2809,0,2809,27,4,False,Beside,0,Open,Right,click
145,145,participant_31,1,2,0,145,posture,Left_Close_0_On,1567119371013,1567119372391,1567119372391,1410,1623,3033,33,0,False,On,180,Close,Left,click
147,147,participant_31,1,2,1,147,posture,Left_Close_0_Below,1567119378414,1567119380456,1567119380456,6442,1525,7967,19,8,False,Below,180,Close,Left,word
149,149,participant_31,1,2,2,149,posture,Left_Close_0_Beside,1567119382013,1567119383288,1567119383288,1307,1258,2565,28,0,False,Beside,180,Close,Left,click
151,151,participant_31,1,2,3,151,posture,Left_Close_90_On,1567119385780,1567119386793,1567119386793,2247,1188,3435,24,4,False,On,90,Close,Left,word
153,153,participant_31,1,2,4,153,posture,Left_Close_90_Below,1567119389113,1567119390125,1567119390125,2144,1721,3865,20,1,False,Below,90,Close,Left,word
155,155,participant_31,1,2,5,155,posture,Left_Close_90_Beside,1567119391880,1567119393123,1567119393123,1277,1121,2398,28,0,False,Beside,90,Close,Left,click
157,157,participant_31,1,2,6,157,posture,Left_Close_180_On,1567119395045,1567119396459,1567119396459,2215,1718,3933,19,13,False,On,0,Close,Left,word
159,159,participant_31,1,2,7,159,posture,Left_Close_180_Below,1567119398214,1567119399392,1567119399392,1215,1323,2538,25,8,False,Below,0,Close,Left,click
161,161,participant_31,1,2,8,161,posture,Left_Close_180_Beside,1567119400746,1567119402361,1567119402361,1646,1353,2999,25,4,False,Beside,0,Close,Left,click
163,163,participant_31,1,2,9,163,posture,Left_Open_0_On,1567119404614,1567119405725,1567119405725,2011,1256,3267,29,0,False,On,180,Open,Left,word
165,165,participant_31,1,2,10,165,posture,Left_Open_0_Below,1567119408178,1567119409396,1567119409396,2415,1684,4099,28,3,False,Below,180,Open,Left,word
167,167,participant_31,1,2,11,167,posture,Left_Open_0_Beside,1567119411110,1567119412355,1567119412355,1275,1224,2499,23,0,False,Beside,180,Open,Left,click
169,169,participant_31,1,2,12,169,posture,Left_Open_90_On,1567119414779,1567119416106,1567119416106,2527,1356,3883,18,4,False,On,90,Open,Left,word
171,171,participant_31,1,2,13,171,posture,Left_Open_90_Below,1567119417493,1567119418470,1567119418470,1008,1391,2399,21,4,False,Below,90,Open,Left,click
173,173,participant_31,1,2,14,173,posture,Left_Open_90_Beside,1567119421392,1567119422608,1567119422608,2747,1188,3935,22,8,False,Beside,90,Open,Left,word
175,175,participant_31,1,2,15,175,posture,Left_Open_180_On,1567119423829,1567119425104,1567119425104,1308,1290,2598,24,0,False,On,0,Open,Left,click
177,177,participant_31,1,2,16,177,posture,Left_Open_180_Below,1567119427158,1567119428271,1567119428271,1877,1226,3103,19,5,False,Below,0,Open,Left,word
179,179,participant_31,1,2,17,179,posture,Left_Open_180_Beside,1567119430492,1567119433005,1567119433005,3508,1524,5032,21,21,False,Beside,0,Open,Left,word
181,181,participant_31,1,2,18,181,posture,Right_Close_0_On,1567119434563,1567119435840,1567119435840,1311,1455,2766,30,4,False,On,180,Close,Right,click
183,183,participant_31,1,2,19,183,posture,Right_Close_0_Below,1567119437328,1567119441538,1567119441538,4243,1122,5365,30,0,False,Below,180,Close,Right,click
185,185,participant_31,1,2,20,185,posture,Right_Close_0_Beside,1567119445829,1567119447104,1567119447104,4444,1191,5635,24,3,False,Beside,180,Close,Right,word
187,187,participant_31,1,2,21,187,posture,Right_Close_90_On,1567119448329,1567119449406,1567119449406,1111,1158,2269,26,4,False,On,90,Close,Right,click
189,189,participant_31,1,2,22,189,posture,Right_Close_90_Below,1567119451996,1567119453139,1567119453139,2575,1156,3731,24,0,False,Below,90,Close,Right,word
191,191,participant_31,1,2,23,191,posture,Right_Close_90_Beside,1567119454329,1567119455340,1567119455340,1045,1454,2499,23,4,False,Beside,90,Close,Right,click
193,193,participant_31,1,2,24,193,posture,Right_Close_180_On,1567119456826,1567119458173,1567119458173,1379,1489,2868,25,8,False,On,0,Close,Right,click
195,195,participant_31,1,2,25,195,posture,Right_Close_180_Below,1567119459697,1567119460876,1567119460876,1214,1353,2567,15,17,False,Below,0,Close,Right,click
197,197,participant_31,1,2,26,197,posture,Right_Close_180_Beside,1567119464663,1567119465841,1567119465841,3612,1152,4764,22,8,False,Beside,0,Close,Right,word
199,199,participant_31,1,2,27,199,posture,Right_Open_0_On,1567119467030,1567119468239,1567119468239,1246,1157,2403,16,0,False,On,180,Open,Right,click
201,201,participant_31,1,2,28,201,posture,Right_Open_0_Below,1567119470231,1567119471407,1567119471407,2011,1357,3368,30,0,False,Below,180,Open,Right,word
203,203,participant_31,1,2,29,203,posture,Right_Open_0_Beside,1567119473627,1567119474772,1567119474772,2008,1392,3400,14,12,False,Beside,180,Open,Right,word
205,205,participant_31,1,2,30,205,posture,Right_Open_90_On,1567119476197,1567119477205,1567119477205,1041,1425,2466,23,4,False,On,90,Open,Right,click
207,207,participant_31,1,2,31,207,posture,Right_Open_90_Below,1567119479598,1567119480673,1567119480673,2043,1253,3296,19,8,False,Below,90,Open,Right,word
209,209,participant_31,1,2,32,209,posture,Right_Open_90_Beside,1567119482797,1567119484673,1567119484673,2747,1890,4637,20,4,False,Beside,90,Open,Right,word
211,211,participant_31,1,2,33,211,posture,Right_Open_180_On,1567119486597,1567119487741,1567119487741,1178,1122,2300,15,16,False,On,0,Open,Right,click
213,213,participant_31,1,2,34,213,posture,Right_Open_180_Below,1567119489793,1567119491072,1567119491072,2209,1392,3601,27,6,False,Below,0,Open,Right,word
215,215,participant_31,1,2,35,215,posture,Right_Open_180_Beside,1567119492494,1567119494142,1567119494142,1678,0,1678,25,5,False,Beside,0,Open,Right,click
289,289,participant_31,2,4,0,289,posture,Left_Close_0_On,1567119657902,1567119659080,1567119659080,1215,1222,2437,33,0,False,On,180,Close,Left,click
291,291,participant_31,2,4,1,291,posture,Left_Close_0_Below,1567119661199,1567119662682,1567119662682,2380,1518,3898,26,0,False,Below,180,Close,Left,word
293,293,participant_31,2,4,2,293,posture,Left_Close_0_Beside,1567119664233,1567119665511,1567119665511,1311,1190,2501,28,0,False,Beside,180,Close,Left,click
295,295,participant_31,2,4,3,295,posture,Left_Close_90_On,1567119667633,1567119668715,1567119668715,2014,1022,3036,29,0,False,On,90,Close,Left,word
297,297,participant_31,2,4,4,297,posture,Left_Close_90_Below,1567119670702,1567119671681,1567119671681,1944,1685,3629,20,0,False,Below,90,Close,Left,word
299,299,participant_31,2,4,5,299,posture,Left_Close_90_Beside,1567119673404,1567119675281,1567119675281,1915,1319,3234,29,0,False,Beside,90,Close,Left,click
301,301,participant_31,2,4,6,301,posture,Left_Close_180_On,1567119677569,1567119678782,1567119678782,2182,1221,3403,22,10,False,On,0,Close,Left,word
303,303,participant_31,2,4,7,303,posture,Left_Close_180_Below,1567119680035,1567119681177,1567119681177,1174,1627,2801,20,6,False,Below,0,Close,Left,click
305,305,participant_31,2,4,8,305,posture,Left_Close_180_Beside,1567119682833,1567119684117,1567119684117,1313,1449,2762,18,13,False,Beside,0,Close,Left,click
307,307,participant_31,2,4,9,307,posture,Left_Open_0_On,1567119686837,1567119687910,1567119687910,2344,1495,3839,29,0,False,On,180,Open,Left,word
309,309,participant_31,2,4,10,309,posture,Left_Open_0_Below,1567119690337,1567119691647,1567119691647,2242,1791,4033,27,7,False,Below,180,Open,Left,word
311,311,participant_31,2,4,11,311,posture,Left_Open_0_Beside,1567119693470,1567119694383,1567119694383,945,1318,2263,23,4,False,Beside,180,Open,Left,click
313,313,participant_31,2,4,12,313,posture,Left_Open_90_On,1567119696501,1567119697717,1567119697717,2016,1285,3301,28,0,False,On,90,Open,Left,word
315,315,participant_31,2,4,13,315,posture,Left_Open_90_Below,1567119699036,1567119700149,1567119700149,1147,1218,2365,23,0,False,Below,90,Open,Left,click
317,317,participant_31,2,4,14,317,posture,Left_Open_90_Beside,1567119702233,1567119703381,1567119703381,2014,1421,3435,23,4,False,Beside,90,Open,Left,word
319,319,participant_31,2,4,15,319,posture,Left_Open_180_On,1567119704837,1567119706446,1567119706446,1644,1358,3002,15,18,False,On,0,Open,Left,click
321,321,participant_31,2,4,16,321,posture,Left_Open_180_Below,1567119709037,1567119710149,1567119710149,2345,989,3334,19,10,False,Below,0,Open,Left,word
323,323,participant_31,2,4,17,323,posture,Left_Open_180_Beside,1567119711936,1567119713380,1567119713380,2242,1292,3534,23,9,False,Beside,0,Open,Left,word
325,325,participant_31,2,4,18,325,posture,Right_Close_0_On,1567119714704,1567119716448,1567119716448,1776,1522,3298,20,11,False,On,180,Close,Right,click
327,327,participant_31,2,4,19,327,posture,Right_Close_0_Below,1567119718003,1567119720046,1567119720046,2076,1726,3802,30,0,False,Below,180,Close,Right,click
329,329,participant_31,2,4,20,329,posture,Right_Close_0_Beside,1567119723133,1567119724218,1567119724218,2446,1319,3765,24,3,False,Beside,180,Close,Right,word
331,331,participant_31,2,4,21,331,posture,Right_Close_90_On,1567119725570,1567119726747,1567119726747,1210,1222,2432,28,0,False,On,90,Close,Right,click
333,333,participant_31,2,4,22,333,posture,Right_Close_90_Below,1567119728772,1567119729851,1567119729851,1882,1086,2968,24,7,False,Below,90,Close,Right,word
335,335,participant_31,2,4,23,335,posture,Right_Close_90_Beside,1567119730969,1567119732114,1567119732114,1177,1331,2508,23,4,False,Beside,90,Close,Right,click
337,337,participant_31,2,4,24,337,posture,Right_Close_180_On,1567119733471,1567119734545,1567119734545,1100,1492,2592,24,4,False,On,0,Close,Right,click
339,339,participant_31,2,4,25,339,posture,Right_Close_180_Below,1567119736069,1567119737249,1567119737249,1212,1089,2301,21,3,False,Below,0,Close,Right,click
341,341,participant_31,2,4,26,341,posture,Right_Close_180_Beside,1567119739203,1567119740314,1567119740314,1976,1254,3230,15,14,False,Beside,0,Close,Right,word
343,343,participant_31,2,4,27,343,posture,Right_Open_0_On,1567119741602,1567119743147,1567119743147,1579,1259,2838,28,0,False,On,180,Open,Right,click
345,345,participant_31,2,4,28,345,posture,Right_Open_0_Below,1567119745502,1567119746681,1567119746681,2275,1056,3331,24,8,False,Below,180,Open,Right,word
347,347,participant_31,2,4,29,347,posture,Right_Open_0_Beside,1567119748602,1567119749717,1567119749717,1980,1120,3100,14,12,False,Beside,180,Open,Right,word
349,349,participant_31,2,4,30,349,posture,Right_Open_90_On,1567119750871,1567119751917,1567119751917,1080,1788,2868,25,4,False,On,90,Open,Right,click
351,351,participant_31,2,4,31,351,posture,Right_Open_90_Below,1567119755370,1567119756748,1567119756748,3043,1223,4266,19,8,False,Below,90,Open,Right,word
353,353,participant_31,2,4,32,353,posture,Right_Open_90_Beside,1567119758802,1567119759848,1567119759848,1877,1589,3466,19,8,False,Beside,90,Open,Right,word
355,355,participant_31,2,4,33,355,posture,Right_Open_180_On,1567119761472,1567119762681,1567119762681,1244,1225,2469,24,8,False,On,0,Open,Right,click
357,357,participant_31,2,4,34,357,posture,Right_Open_180_Below,1567119764969,1567119766316,1567119766316,2410,1357,3767,27,8,False,Below,0,Open,Right,word
359,359,participant_31,2,4,35,359,posture,Right_Open_180_Beside,1567119767706,1567119770618,1567119770618,2945,0,2945,17,16,False,Beside,0,Open,Right,click
433,433,participant_31,3,6,0,433,posture,Left_Close_0_On,1567119959245,1567119960422,1567119960422,1209,1157,2366,27,0,False,On,180,Close,Left,click
435,435,participant_31,3,6,1,435,posture,Left_Close_0_Below,1567119962742,1567119964057,1567119964057,2478,1356,3834,31,0,False,Below,180,Close,Left,word
437,437,participant_31,3,6,2,437,posture,Left_Close_0_Beside,1567119965445,1567119966523,1567119966523,1110,1224,2334,28,0,False,Beside,180,Close,Left,click
439,439,participant_31,3,6,3,439,posture,Left_Close_90_On,1567119970212,1567119971325,1567119971325,3578,1186,4764,17,8,False,On,90,Close,Left,word
441,441,participant_31,3,6,4,441,posture,Left_Close_90_Below,1567119973380,1567119974387,1567119974387,1876,1489,3365,23,6,False,Below,90,Close,Left,word
443,443,participant_31,3,6,5,443,posture,Left_Close_90_Beside,1567119975910,1567119977859,1567119977859,1983,1152,3135,31,0,False,Beside,90,Close,Left,click
447,447,participant_31,3,6,7,447,posture,Left_Close_180_Below,1567119984946,1567119986091,1567119986091,1177,1156,2333,20,6,False,Below,0,Close,Left,click
449,449,participant_31,3,6,8,449,posture,Left_Close_180_Beside,1567119987276,1567119988393,1567119988393,1146,1154,2300,20,0,False,Beside,0,Close,Left,click
451,451,participant_31,3,6,9,451,posture,Left_Open_0_On,1567119990277,1567119991223,1567119991223,1676,221,1897,29,0,False,On,180,Open,Left,word
453,453,participant_31,3,6,10,453,posture,Left_Open_0_Below,1567119995215,1567119998358,1567119998358,6914,1823,8737,20,8,False,Below,180,Open,Left,word
455,455,participant_31,3,6,11,455,posture,Left_Open_0_Beside,1567120000215,1567120001391,1567120001391,1210,1124,2334,23,4,False,Beside,180,Open,Left,click
457,457,participant_31,3,6,12,457,posture,Left_Open_90_On,1567120004214,1567120005425,1567120005425,2910,1455,4365,18,4,False,On,90,Open,Left,word
459,459,participant_31,3,6,13,459,posture,Left_Open_90_Below,1567120006914,1567120007791,1567120007791,911,1325,2236,21,4,False,Below,90,Open,Left,click
461,461,participant_31,3,6,14,461,posture,Left_Open_90_Beside,1567120010815,1567120012024,1567120012024,2908,1191,4099,28,0,False,Beside,90,Open,Left,word
463,463,participant_31,3,6,15,463,posture,Left_Open_180_On,1567120013248,1567120014455,1567120014455,1240,1225,2465,15,18,False,On,0,Open,Left,click
465,465,participant_31,3,6,16,465,posture,Left_Open_180_Below,1567120016812,1567120018825,1567120018825,3145,1124,4269,19,16,False,Below,0,Open,Left,word
467,467,participant_31,3,6,17,467,posture,Left_Open_180_Beside,1567120020811,1567120023557,1567120023557,3608,1291,4899,20,12,False,Beside,0,Open,Left,word
469,469,participant_31,3,6,18,469,posture,Right_Close_0_On,1567120024879,1567120026126,1567120026126,1278,1155,2433,31,0,False,On,180,Close,Right,click
471,471,participant_31,3,6,19,471,posture,Right_Close_0_Below,1567120027316,1567120029992,1567120029992,2711,1424,4135,30,0,False,Below,180,Close,Right,click
473,473,participant_31,3,6,20,473,posture,Right_Close_0_Beside,1567120033349,1567120034393,1567120034393,2977,1352,4329,24,3,False,Beside,180,Close,Right,word
475,475,participant_31,3,6,21,475,posture,Right_Close_90_On,1567120035781,1567120036857,1567120036857,1112,1293,2405,22,8,False,On,90,Close,Right,click
477,477,participant_31,3,6,22,477,posture,Right_Close_90_Below,1567120039082,1567120040027,1567120040027,1877,1353,3230,16,12,False,Below,90,Close,Right,word
479,479,participant_31,3,6,23,479,posture,Right_Close_90_Beside,1567120041415,1567120042692,1567120042692,1312,1624,2936,26,4,False,Beside,90,Close,Right,click
481,481,participant_31,3,6,24,481,posture,Right_Close_180_On,1567120044349,1567120045627,1567120045627,1311,1488,2799,25,8,False,On,0,Close,Right,click
483,483,participant_31,3,6,25,483,posture,Right_Close_180_Below,1567120047147,1567120048296,1567120048296,1181,1450,2631,30,0,False,Below,0,Close,Right,click
485,485,participant_31,3,6,26,485,posture,Right_Close_180_Beside,1567120051016,1567120052325,1567120052325,2579,1625,4204,20,11,False,Beside,0,Close,Right,word
487,487,participant_31,3,6,27,487,posture,Right_Open_0_On,1567120053980,1567120055196,1567120055196,1246,1120,2366,28,0,False,On,180,Open,Right,click
489,489,participant_31,3,6,28,489,posture,Right_Open_0_Below,1567120057514,1567120058757,1567120058757,2441,1124,3565,26,4,False,Below,180,Open,Right,word
491,491,participant_31,3,6,29,491,posture,Right_Open_0_Beside,1567120063583,1567120064827,1567120064827,4946,1231,6177,14,12,False,Beside,180,Open,Right,word
493,493,participant_31,3,6,30,493,posture,Right_Open_90_On,1567120066094,1567120067137,1567120067137,1079,1186,2265,25,3,False,On,90,Open,Right,click
495,495,participant_31,3,6,31,495,posture,Right_Open_90_Below,1567120069259,1567120070335,1567120070335,2012,1391,3403,17,6,False,Below,90,Open,Right,word
497,497,participant_31,3,6,32,497,posture,Right_Open_90_Beside,1567120072725,1567120073800,1567120073800,2074,1323,3397,24,4,False,Beside,90,Open,Right,word
499,499,participant_31,3,6,33,499,posture,Right_Open_180_On,1567120075156,1567120076336,1567120076336,1213,1655,2868,15,16,False,On,0,Open,Right,click
501,501,participant_31,3,6,34,501,posture,Right_Open_180_Below,1567120078856,1567120080903,1567120080903,2912,1256,4168,26,6,False,Below,0,Open,Right,word
503,503,participant_31,3,6,35,503,posture,Right_Open_180_Beside,1567120082193,1567120083641,1567120083641,1482,0,1482,23,8,False,Beside,0,Open,Right,click
577,577,participant_31,4,8,0,577,posture,Left_Close_0_On,1567120257665,1567120258878,1567120258878,1250,1352,2602,26,4,False,On,180,Close,Left,click
579,579,participant_31,4,8,1,579,posture,Left_Close_0_Below,1567120261698,1567120263109,1567120263109,2879,1256,4135,19,8,False,Below,180,Close,Left,word
581,581,participant_31,4,8,2,581,posture,Left_Close_0_Beside,1567120264398,1567120265510,1567120265510,1145,1190,2335,28,0,False,Beside,180,Close,Left,click
583,583,participant_31,4,8,3,583,posture,Left_Close_90_On,1567120268099,1567120269240,1567120269240,2540,1159,3699,24,4,False,On,90,Close,Left,word
585,585,participant_31,4,8,4,585,posture,Left_Close_90_Below,1567120271565,1567120272605,1567120272605,2206,1394,3600,20,2,False,Below,90,Close,Left,word
587,587,participant_31,4,8,5,587,posture,Left_Close_90_Beside,1567120274032,1567120275640,1567120275640,1641,1359,3000,34,0,False,Beside,90,Close,Left,click
589,589,participant_31,4,8,6,589,posture,Left_Close_180_On,1567120277965,1567120279243,1567120279243,2244,1222,3466,18,11,False,On,0,Close,Left,word
591,591,participant_31,4,8,7,591,posture,Left_Close_180_Below,1567120280495,1567120281644,1567120281644,1179,1222,2401,25,7,False,Below,0,Close,Left,click
593,593,participant_31,4,8,8,593,posture,Left_Close_180_Beside,1567120282899,1567120284179,1567120284179,1313,1254,2567,18,13,False,Beside,0,Close,Left,click
595,595,participant_31,4,8,9,595,posture,Left_Open_0_On,1567120286233,1567120287146,1567120287146,1713,50,1763,25,2,False,On,180,Open,Left,word
599,599,participant_31,4,8,11,599,posture,Left_Open_0_Beside,1567120297332,1567120298478,1567120298478,1178,1356,2534,23,0,False,Beside,180,Open,Left,click
601,601,participant_31,4,8,12,601,posture,Left_Open_90_On,1567120301699,1567120302878,1567120302878,3044,1223,4267,21,2,False,On,90,Open,Left,word
603,603,participant_31,4,8,13,603,posture,Left_Open_90_Below,1567120304134,1567120305181,1567120305181,1080,1119,2199,21,0,False,Below,90,Open,Left,click
605,605,participant_31,4,8,14,605,posture,Left_Open_90_Beside,1567120307700,1567120308942,1567120308942,2642,1992,4634,23,4,False,Beside,90,Open,Left,word
607,607,participant_31,4,8,15,607,posture,Left_Open_180_On,1567120310965,1567120312044,1567120312044,1110,1225,2335,2,0,False,On,0,Open,Left,click
609,609,participant_31,4,8,16,609,posture,Left_Open_180_Below,1567120314333,1567120315476,1567120315476,2207,1455,3662,19,5,False,Below,0,Open,Left,word
611,611,participant_31,4,8,17,611,posture,Left_Open_180_Beside,1567120317998,1567120319810,1567120319810,2879,1457,4336,21,9,False,Beside,0,Open,Left,word
613,613,participant_31,4,8,18,613,posture,Right_Close_0_On,1567120321296,1567120322610,1567120322610,1343,1490,2833,20,11,False,On,180,Close,Right,click
615,615,participant_31,4,8,19,615,posture,Right_Close_0_Below,1567120324133,1567120327611,1567120327611,3511,1357,4868,23,0,False,Below,180,Close,Right,click
617,617,participant_31,4,8,20,617,posture,Right_Close_0_Beside,1567120329734,1567120331080,1567120331080,2112,1120,3232,30,0,False,Beside,180,Close,Right,word
619,619,participant_31,4,8,21,619,posture,Right_Close_90_On,1567120332232,1567120333377,1567120333377,1177,1091,2268,28,0,False,On,90,Close,Right,click
621,621,participant_31,4,8,22,621,posture,Right_Close_90_Below,1567120336501,1567120337545,1567120337545,3077,1188,4265,16,12,False,Below,90,Close,Right,word
623,623,participant_31,4,8,23,623,posture,Right_Close_90_Beside,1567120338763,1567120339813,1567120339813,1080,1222,2302,27,4,False,Beside,90,Close,Right,click
625,625,participant_31,4,8,24,625,posture,Right_Close_180_On,1567120341067,1567120342647,1567120342647,1612,1489,3101,24,8,False,On,0,Close,Right,click
627,627,participant_31,4,8,25,627,posture,Right_Close_180_Below,1567120344173,1567120346280,1567120346280,2144,1419,3563,37,0,False,Below,0,Close,Right,click
629,629,participant_31,4,8,26,629,posture,Right_Close_180_Beside,1567120349934,1567120351248,1567120351248,3549,1354,4903,15,19,False,Beside,0,Close,Right,word
631,631,participant_31,4,8,27,631,posture,Right_Open_0_On,1567120352634,1567120353578,1567120353578,976,1320,2296,27,0,False,On,180,Open,Right,click
633,633,participant_31,4,8,28,633,posture,Right_Open_0_Below,1567120356168,1567120360878,1567120360878,5980,1257,7237,30,0,False,Below,180,Open,Right,word
635,635,participant_31,4,8,29,635,posture,Right_Open_0_Beside,1567120365069,1567120366379,1567120366379,4244,1290,5534,14,12,False,Beside,180,Open,Right,word
637,637,participant_31,4,8,30,637,posture,Right_Open_90_On,1567120367701,1567120368682,1567120368682,1013,1151,2164,25,3,False,On,90,Open,Right,click
639,639,participant_31,4,8,31,639,posture,Right_Open_90_Below,1567120371000,1567120372176,1567120372176,2343,1292,3635,17,8,False,Below,90,Open,Right,word
641,641,participant_31,4,8,32,641,posture,Right_Open_90_Beside,1567120374503,1567120376080,1567120376080,2612,1355,3967,27,4,False,Beside,90,Open,Right,word
643,643,participant_31,4,8,33,643,posture,Right_Open_180_On,1567120377467,1567120378644,1567120378644,1209,1322,2531,21,0,False,On,0,Open,Right,click
645,645,participant_31,4,8,34,645,posture,Right_Open_180_Below,1567120381067,1567120382851,1567120382851,2885,2218,5103,27,8,False,Below,0,Open,Right,word
647,647,participant_31,4,8,35,647,posture,Right_Open_180_Beside,1567120385103,1567120387544,1567120387544,2475,0,2475,27,4,False,Beside,0,Open,Right,click
721,721,participant_50,0,0,0,1,posture,Left_Close_0_On,1568139702410,1568139704286,1568139704286,1904,2291,4195,27,0,False,On,180,Close,Left,click
723,723,participant_50,0,0,1,3,posture,Left_Close_0_Below,1568139708074,1568139709687,1568139709687,3110,2455,5565,19,8,False,Below,180,Close,Left,word
