,Participant,Block,Sequence,Sub_Sequence,Trial,Target_Type,Target_Name,Start_Time,End_Time,First_Reaction_Time,Mode_In_Time,Mode_Out_Time,Execution_Time,Reference_Action_Count,Incorrect_Action_Count,Error,IV_Surface,IV_Orientation,IV_Form,IV_Hand,Reference_Task
42,participant_31,0,0,21,42,click,click me,1567119079767,1567119081104,1567119081104,1360,1111,2471,0,0,False,NA,NA,NA,NA,NA
43,participant_31,0,0,21,43,posture,Right_Close_90_On,1567119081136,1567119082215,1567119082215,1111,1286,2397,30,0,False,On,90,Close,Right,click
44,participant_31,0,0,22,44,word,wakes,1567119082234,1567119084467,1567119083501,1286,1914,3200,0,0,False,NA,NA,NA,NA,NA
45,participant_31,0,0,22,45,posture,Right_Close_90_Below,1567119084503,1567119085415,1567119085415,1914,2620,4534,24,0,False,Below,90,Close,Right,word
46,participant_31,0,0,23,46,click,click me,1567119085433,1567119088035,1567119088035,2620,1446,4066,0,0,False,NA,NA,NA,NA,NA
47,participant_31,0,0,23,47,posture,Right_Close_90_Beside,1567119088071,1567119089481,1567119089481,1446,1452,2898,27,4,False,Beside,90,Close,Right,click
48,participant_31,0,0,24,48,click,click me,1567119089502,1567119090933,1567119090933,1452,1483,2935,0,0,False,NA,NA,NA,NA,NA
49,participant_31,0,0,24,49,posture,Right_Close_180_On,1567119090970,1567119092416,1567119092416,1483,1519,3002,24,4,False,On,0,Close,Right,click
50,participant_31,0,0,25,50,click,click me,1567119092434,1567119093935,1567119093935,1519,1179,2698,0,0,False,NA,NA,NA,NA,NA
51,participant_31,0,0,25,51,posture,Right_Close_180_Below,1567119093967,1567119095114,1567119095114,1179,1756,2935,30,0,False,Below,0,Close,Right,click
52,participant_31,0,0,26,52,word,James,1567119095136,1567119097834,1567119096870,1756,2309,4065,0,0,False,NA,NA,NA,NA,NA
53,participant_31,0,0,26,53,posture,Right_Close_180_Beside,1567119097867,1567119099179,1567119099179,2309,1390,3699,15,14,False,Beside,0,Close,Right,word
54,participant_31,0,0,27,54,click,click me,1567119099203,1567119100569,1567119100569,1390,1146,2536,0,0,False,NA,NA,NA,NA,NA
55,participant_31,0,0,27,55,posture,Right_Open_0_On,1567119100603,1567119101715,1567119101715,1146,1152,2298,15,0,False,On,180,Open,Right,click
56,participant_31,0,0,28,56,word,tempt,1567119101736,1567119104004,1567119102867,1152,4882,6034,0,0,False,NA,NA,NA,NA,NA
57,participant_31,0,0,28,57,posture,Right_Open_0_Below,1567119104036,1567119107749,1567119107749,4882,1253,6135,30,0,False,Below,180,Open,Right,word
58,participant_31,0,0,29,58,word,deals,1567119107768,1567119110171,1567119109002,1253,2484,3737,0,0,False,NA,NA,NA,NA,NA
59,participant_31,0,0,29,59,posture,Right_Open_0_Beside,1567119110201,1567119111486,1567119111486,2484,1517,4001,19,12,False,Beside,180,Open,Right,word
60,participant_31,0,0,30,60,click,click me,1567119111503,1567119113003,1567119113003,1517,1178,2695,0,0,False,NA,NA,NA,NA,NA
61,participant_31,0,0,30,61,posture,Right_Open_90_On,1567119113036,1567119114181,1567119114181,1178,1156,2334,25,3,False,On,90,Open,Right,click
62,participant_31,0,0,31,62,word,merit,1567119114202,1567119116038,1567119115337,1156,1715,2871,0,0,False,NA,NA,NA,NA,NA
63,participant_31,0,0,31,63,posture,Right_Open_90_Below,1567119116072,1567119117052,1567119117052,1715,1252,2967,9,8,False,Below,90,Open,Right,word
64,participant_31,0,0,32,64,word,sense,1567119117070,1567119119072,1567119118304,1252,1978,3230,0,0,False,NA,NA,NA,NA,NA
65,participant_31,0,0,32,65,posture,Right_Open_90_Beside,1567119119102,1567119120282,1567119120282,1978,1319,3297,19,8,False,Beside,90,Open,Right,word
66,participant_31,0,0,33,66,click,click me,1567119120303,1567119121601,1567119121601,1319,1515,2834,0,0,False,NA,NA,NA,NA,NA
67,participant_31,0,0,33,67,posture,Right_Open_180_On,1567119121638,1567119123116,1567119123116,1515,1189,2704,24,8,False,On,0,Open,Right,click
68,participant_31,0,0,34,68,word,Sleep,1567119123134,1567119128339,1567119124305,1189,5479,6668,0,0,False,NA,NA,NA,NA,NA
69,participant_31,0,0,34,69,posture,Right_Open_180_Below,1567119128372,1567119129784,1567119129784,5479,1891,7370,27,8,False,Below,0,Open,Right,word
70,participant_31,0,0,35,70,click,click me,1567119129802,1567119131675,1567119131675,1891,2809,4700,0,0,False,NA,NA,NA,NA,NA
71,participant_31,0,0,35,71,posture,Right_Open_180_Beside,1567119131705,1567119134484,1567119134484,2809,0,2809,27,4,False,Beside,0,Open,Right,click
72,participant_31,0,1,0,72,click,click me,1567119165902,1567119167807,1567119167807,0,5932,5932,0,0,False,NA,NA,NA,NA,NA
73,participant_31,0,1,0,73,shortcut,N,1567119167839,1567119173739,1567119173739,5932,136,6068,0,0,False,shortcut,shortcut,shortcut,shortcut,click
74,participant_31,0,1,1,74,word,'nuff,1567119173806,1567119179808,1567119173875,136,8699,8835,0,0,True,NA,NA,NA,NA,NA
75,participant_31,0,1,1,75,shortcut,Z,1567119179808,1567119182574,1567119182574,8699,1667,10366,0,1,False,shortcut,shortcut,shortcut,shortcut,word
76,participant_31,0,1,2,76,click,click me,1567119182638,1567119184241,1567119184241,1667,2531,4198,0,0,False,NA,NA,NA,NA,NA
77,participant_31,0,1,2,77,shortcut,down,1567119184273,1567119186772,1567119186772,2531,133,2664,0,0,False,shortcut,shortcut,shortcut,shortcut,click
78,participant_31,0,1,3,78,word,final,1567119186840,1567119188940,1567119186905,133,4336,4469,0,0,False,NA,NA,NA,NA,NA
79,participant_31,0,1,3,79,shortcut,E,1567119188973,1567119191241,1567119191241,4336,100,4436,0,0,False,shortcut,shortcut,shortcut,shortcut,word
80,participant_31,0,1,4,80,word,pulls,1567119191303,1567119193175,1567119191341,100,3800,3900,0,0,False,NA,NA,NA,NA,NA
81,participant_31,0,1,4,81,shortcut,Y,1567119193205,1567119195141,1567119195141,3800,1563,5363,0,0,False,shortcut,shortcut,shortcut,shortcut,word
82,participant_31,0,1,5,82,click,click me,1567119195205,1567119196704,1567119196704,1563,2170,3733,0,0,False,NA,NA,NA,NA,NA
83,participant_31,0,1,5,83,shortcut,L,1567119196738,1567119198874,1567119198874,2170,130,2300,0,0,False,shortcut,shortcut,shortcut,shortcut,click
