,Participant,Block,Sequence,Sub_Sequence,Trial,Target_Type,Target_Name,Start_Time,End_Time,First_Reaction_Time,Mode_In_Time,Mode_Out_Time,Execution_Time,Completion_Time,Reference_Action_Count,Incorrect_Action_Count,Error,IV_Surface,IV_Orientation,IV_Form,IV_Hand,Previous_Reference_Task,Next_Reference_Task
3223,participant_48,2,4,27,343,posture,Right_Open_0_On,1567811021072,1567811022349,1567811022349,1311,1356,2667,1277,27,0,False,On,0,Open,Dominant,click,word
3225,participant_48,2,4,28,345,posture,Right_Open_0_Below,1567811025604,1567811027013,1567811027013,3308,1126,4434,1409,26,4,False,Below,0,Open,Dominant,word,word
3227,participant_48,2,4,29,347,posture,Right_Open_0_Beside,1567811029204,1567811030646,1567811030646,2507,1726,4233,1442,19,12,False,Beside,0,Open,Dominant,word,click
3229,participant_48,2,4,30,349,posture,Right_Open_90_On,1567811032406,1567811033813,1567811033813,1441,1326,2767,1407,25,3,False,On,90,Open,Dominant,click,word
3231,participant_48,2,4,31,351,posture,Right_Open_90_Below,1567811036172,1567811037313,1567811037313,2174,1291,3465,1141,17,8,False,Below,90,Open,Dominant,word,word
3237,participant_48,2,4,34,357,posture,Right_Open_180_Below,1567811046338,1567811047520,1567811047520,1914,1318,3232,1182,16,14,False,Below,180,Open,Dominant,word,click
3239,participant_48,2,4,35,359,posture,Right_Open_180_Beside,1567811048872,1567811050017,1567811050017,1179,0,1179,1145,17,16,False,Beside,180,Open,Dominant,click,click
3241,participant_48,2,5,0,361,shortcut,G,1567811056871,1567811058773,1567811058773,1936,66,2002,1902,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
3243,participant_48,2,5,1,363,shortcut,left,1567811061207,1567811062470,1567811062470,3631,1701,5332,1263,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
3245,participant_48,2,5,2,365,shortcut,F,1567811064204,1567811065838,1567811065838,1667,66,1733,1634,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
3247,participant_48,2,5,3,367,shortcut,G,1567811068272,1567811070174,1567811070174,4270,68,4338,1902,0,0,False,shortcut,shortcut,shortcut,shortcut,word,word
3251,participant_48,2,5,5,371,shortcut,up,1567811076372,1567811078208,1567811078208,1868,298,2166,1836,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
3253,participant_48,2,5,6,373,shortcut,Q,1567811082074,1567811083807,1567811083807,5301,1698,6999,1733,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
3255,participant_48,2,5,7,375,shortcut,L,1567811085539,1567811087371,1567811087371,1866,1669,3535,1832,0,0,False,shortcut,shortcut,shortcut,shortcut,click,click
3259,participant_48,2,5,9,379,shortcut,E,1567811096404,1567811098042,1567811098042,6070,65,6135,1638,0,0,False,shortcut,shortcut,shortcut,shortcut,word,word
3261,participant_48,2,5,10,381,shortcut,G,1567811100441,1567811102375,1567811102375,4268,1766,6034,1934,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
3263,participant_48,2,5,11,383,shortcut,W,1567811104175,1567811105475,1567811105475,1334,98,1432,1300,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
3267,participant_48,2,5,13,387,shortcut,D,1567811112442,1567811113705,1567811113705,1297,69,1366,1263,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
3269,participant_48,2,5,14,389,shortcut,L,1567811115808,1567811117041,1567811117041,3267,1601,4868,1233,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
3271,participant_48,2,5,15,391,shortcut,B,1567811118675,1567811120541,1567811120541,1899,64,1963,1866,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
3273,participant_48,2,5,16,393,shortcut,J,1567811122709,1567811123975,1567811123975,3370,66,3436,1266,0,0,False,shortcut,shortcut,shortcut,shortcut,word,word
3275,participant_48,2,5,17,395,shortcut,H,1567811126405,1567811127740,1567811127740,3699,1633,5332,1335,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
3279,participant_48,2,5,19,399,shortcut,right,1567811133607,1567811134609,1567811134609,1033,133,1166,1002,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
3281,participant_48,2,5,20,401,shortcut,C,1567811136774,1567811138310,1567811138310,3568,1395,4963,1536,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
3283,participant_48,2,5,21,403,shortcut,R,1567811139739,1567811141309,1567811141309,1604,99,1703,1570,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
3285,participant_48,2,5,22,405,shortcut,W,1567811143339,1567811144973,1567811144973,3565,1535,5100,1634,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
3287,participant_48,2,5,23,407,shortcut,W,1567811146541,1567811147943,1567811147943,1435,1763,3198,1402,0,0,False,shortcut,shortcut,shortcut,shortcut,click,click
3289,participant_48,2,5,24,409,shortcut,N,1567811149740,1567811151374,1567811151374,1668,1533,3201,1634,0,0,False,shortcut,shortcut,shortcut,shortcut,click,click
3291,participant_48,2,5,25,411,shortcut,S,1567811152944,1567811154474,1567811154474,1567,136,1703,1530,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
3293,participant_48,2,5,26,413,shortcut,G,1567811156610,1567811157843,1567811157843,3233,1464,4697,1233,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
3295,participant_48,2,5,27,415,shortcut,up,1567811159340,1567811160508,1567811160508,1201,69,1270,1168,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
3297,participant_48,2,5,28,417,shortcut,R,1567811164342,1567811165540,1567811165540,4963,70,5033,1198,0,0,False,shortcut,shortcut,shortcut,shortcut,word,word
3299,participant_48,2,5,29,419,shortcut,down,1567811168042,1567811169144,1567811169144,3534,1566,5100,1102,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
3301,participant_48,2,5,30,421,shortcut,L,1567811170744,1567811172508,1567811172508,1798,266,2064,1764,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
3303,participant_48,2,5,31,423,shortcut,N,1567811175009,1567811176808,1567811176808,4034,103,4137,1799,0,0,False,shortcut,shortcut,shortcut,shortcut,word,word
3305,participant_48,2,5,32,425,shortcut,left,1567811178610,1567811179507,1567811179507,2596,1601,4197,897,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
3309,participant_48,2,5,34,429,shortcut,G,1567811187144,1567811189007,1567811189007,5368,2004,7372,1863,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
3311,participant_48,2,5,35,431,shortcut,B,1567811191042,1567811192277,1567811192277,1266,0,1266,1235,0,0,False,shortcut,shortcut,shortcut,shortcut,click,click
3313,participant_48,3,6,0,433,posture,Left_Close_0_On,1567811199575,1567811200824,1567811200824,1283,1155,2438,1249,27,0,False,On,0,Close,Non Dominant,click,word
3315,participant_48,3,6,1,435,posture,Left_Close_0_Below,1567811202876,1567811204022,1567811204022,2043,1323,3366,1146,19,8,False,Below,0,Close,Non Dominant,word,click
3317,participant_48,3,6,2,437,posture,Left_Close_0_Beside,1567811205378,1567811206718,1567811206718,1373,1257,2630,1340,28,0,False,Beside,0,Close,Non Dominant,click,word
3319,participant_48,3,6,3,439,posture,Left_Close_90_On,1567811208945,1567811210054,1567811210054,2079,1056,3135,1109,29,0,False,On,90,Close,Non Dominant,word,word
3321,participant_48,3,6,4,441,posture,Left_Close_90_Below,1567811212044,1567811213119,1567811213119,2009,2258,4267,1075,23,8,False,Below,90,Close,Non Dominant,word,click
3323,participant_48,3,6,5,443,posture,Left_Close_90_Beside,1567811215411,1567811216324,1567811216324,947,1218,2165,913,27,0,False,Beside,90,Close,Non Dominant,click,word
3325,participant_48,3,6,6,445,posture,Left_Close_180_On,1567811218642,1567811219825,1567811219825,2283,1354,3637,1183,28,2,False,On,180,Close,Non Dominant,word,click
3327,participant_48,3,6,7,447,posture,Left_Close_180_Below,1567811221209,1567811222386,1567811222386,1207,1092,2299,1177,19,9,False,Below,180,Close,Non Dominant,click,click
3329,participant_48,3,6,8,449,posture,Left_Close_180_Beside,1567811223510,1567811224655,1567811224655,1177,1191,2368,1145,18,10,False,Beside,180,Close,Non Dominant,click,word
3331,participant_48,3,6,9,451,posture,Left_Open_0_On,1567811227110,1567811228120,1567811228120,2274,1122,3396,1010,26,0,False,On,0,Open,Non Dominant,word,word
3333,participant_48,3,6,10,453,posture,Left_Open_0_Below,1567811230275,1567811231321,1567811231321,2079,1358,3437,1046,27,0,False,Below,0,Open,Non Dominant,word,click
3335,participant_48,3,6,11,455,posture,Left_Open_0_Beside,1567811232710,1567811233859,1567811233859,1180,1085,2265,1149,25,0,False,Beside,0,Open,Non Dominant,click,word
3337,participant_48,3,6,12,457,posture,Left_Open_90_On,1567811236313,1567811237320,1567811237320,2376,1392,3768,1007,18,4,False,On,90,Open,Non Dominant,word,click
3339,participant_48,3,6,13,459,posture,Left_Open_90_Below,1567811238745,1567811239790,1567811239790,1078,1122,2200,1045,21,0,False,Below,90,Open,Non Dominant,click,word
3341,participant_48,3,6,14,461,posture,Left_Open_90_Beside,1567811241711,1567811242722,1567811242722,1810,2421,4231,1011,23,4,False,Beside,90,Open,Non Dominant,word,click
3343,participant_48,3,6,15,463,posture,Left_Open_180_On,1567811245179,1567811246054,1567811246054,911,1188,2099,875,15,10,False,On,180,Open,Non Dominant,click,word
3345,participant_48,3,6,16,465,posture,Left_Open_180_Below,1567811248942,1567811250153,1567811250153,2911,961,3872,1211,23,5,False,Below,180,Open,Non Dominant,word,word
3349,participant_48,3,6,18,469,posture,Right_Close_0_On,1567811255110,1567811256621,1567811256621,1546,1555,3101,1511,30,4,False,On,0,Close,Dominant,click,click
3351,participant_48,3,6,19,471,posture,Right_Close_0_Below,1567811258213,1567811259354,1567811259354,1178,1126,2304,1141,29,0,False,Below,0,Close,Dominant,click,word
3353,participant_48,3,6,20,473,posture,Right_Close_0_Beside,1567811261276,1567811262556,1567811262556,2076,1824,3900,1280,20,8,False,Beside,0,Close,Dominant,word,click
3355,participant_48,3,6,21,475,posture,Right_Close_90_On,1567811264414,1567811265890,1567811265890,1510,1124,2634,1476,22,8,False,On,90,Close,Dominant,click,word
3357,participant_48,3,6,22,477,posture,Right_Close_90_Below,1567811267879,1567811268824,1567811268824,1810,1519,3329,945,17,11,False,Below,90,Close,Dominant,word,click
3359,participant_48,3,6,23,479,posture,Right_Close_90_Beside,1567811270379,1567811271691,1567811271691,1348,2189,3537,1312,23,4,False,Beside,90,Close,Dominant,click,click
3361,participant_48,3,6,24,481,posture,Right_Close_180_On,1567811273913,1567811275020,1567811275020,1140,1494,2634,1107,24,5,False,On,180,Close,Dominant,click,click
3363,participant_48,3,6,25,483,posture,Right_Close_180_Below,1567811276545,1567811277592,1567811277592,1078,1022,2100,1047,13,0,False,Below,180,Close,Dominant,click,word
3365,participant_48,3,6,26,485,posture,Right_Close_180_Beside,1567811279613,1567811280657,1567811280657,2043,1856,3899,1044,22,8,False,Beside,180,Close,Dominant,word,click
3367,participant_48,3,6,27,487,posture,Right_Open_0_On,1567811282544,1567811283760,1567811283760,1247,1355,2602,1216,28,0,False,On,0,Open,Dominant,click,word
3369,participant_48,3,6,28,489,posture,Right_Open_0_Below,1567811286280,1567811287361,1567811287361,2246,1120,3366,1081,29,0,False,Below,0,Open,Dominant,word,word
3371,participant_48,3,6,29,491,posture,Right_Open_0_Beside,1567811289913,1567811291091,1567811291091,2610,1922,4532,1178,14,12,False,Beside,0,Open,Dominant,word,click
3373,participant_48,3,6,30,493,posture,Right_Open_90_On,1567811293043,1567811294325,1567811294325,1312,1154,2466,1282,25,3,False,On,90,Open,Dominant,click,word
3375,participant_48,3,6,31,495,posture,Right_Open_90_Below,1567811296348,1567811297392,1567811297392,1913,1085,2998,1044,19,8,False,Below,90,Open,Dominant,word,word
3377,participant_48,3,6,32,497,posture,Right_Open_90_Beside,1567811299378,1567811301024,1567811301024,2547,1658,4205,1646,20,4,False,Beside,90,Open,Dominant,word,click
3379,participant_48,3,6,33,499,posture,Right_Open_180_On,1567811302713,1567811303893,1567811303893,1211,1288,2499,1180,25,8,False,On,180,Open,Dominant,click,word
3381,participant_48,3,6,34,501,posture,Right_Open_180_Below,1567811306580,1567811307955,1567811307955,2774,1493,4267,1375,23,9,False,Below,180,Open,Dominant,word,click
3383,participant_48,3,6,35,503,posture,Right_Open_180_Beside,1567811309479,1567811310628,1567811310628,1180,0,1180,1149,27,4,False,Beside,180,Open,Dominant,click,click
3385,participant_48,3,7,0,505,shortcut,S,1567811317913,1567811319245,1567811319245,1364,70,1434,1332,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
3387,participant_48,3,7,1,507,shortcut,Z,1567811321245,1567811322914,1567811322914,3599,1765,5364,1669,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
3391,participant_48,3,7,3,511,shortcut,R,1567811330613,1567811332314,1567811332314,4967,100,5067,1701,0,0,False,shortcut,shortcut,shortcut,shortcut,word,word
3393,participant_48,3,7,4,513,shortcut,F,1567811334713,1567811336080,1567811336080,3666,1234,4900,1367,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
3395,participant_48,3,7,5,515,shortcut,P,1567811337345,1567811338681,1567811338681,1367,66,1433,1336,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
3397,participant_48,3,7,6,517,shortcut,R,1567811340880,1567811342314,1567811342314,3567,1369,4936,1434,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
3399,participant_48,3,7,7,519,shortcut,down,1567811343713,1567811344978,1567811344978,1295,1536,2831,1265,0,0,False,shortcut,shortcut,shortcut,shortcut,click,click
3401,participant_48,3,7,8,521,shortcut,H,1567811346547,1567811347747,1567811347747,1233,99,1332,1200,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
3403,participant_48,3,7,9,523,shortcut,G,1567811350982,1567811352750,1567811352750,4904,64,4968,1768,0,0,False,shortcut,shortcut,shortcut,shortcut,word,word
3405,participant_48,3,7,10,525,shortcut,D,1567811355383,1567811356882,1567811356882,4068,1532,5600,1499,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
3407,participant_48,3,7,11,527,shortcut,D,1567811358446,1567811359849,1567811359849,1435,130,1565,1403,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
3409,participant_48,3,7,12,529,shortcut,Y,1567811361613,1567811363015,1567811363015,3036,1565,4601,1402,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
3411,participant_48,3,7,13,531,shortcut,P,1567811364615,1567811366114,1567811366114,1534,65,1599,1499,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
3413,participant_48,3,7,14,533,shortcut,U,1567811367913,1567811369116,1567811369116,2937,1498,4435,1203,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
3415,participant_48,3,7,15,535,shortcut,B,1567811370648,1567811372318,1567811372318,1704,64,1768,1670,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
3417,participant_48,3,7,16,537,shortcut,X,1567811374046,1567811375447,1567811375447,3065,101,3166,1401,0,0,False,shortcut,shortcut,shortcut,shortcut,word,word
3421,participant_48,3,7,18,541,shortcut,Y,1567811381781,1567811382948,1567811382948,1200,1234,2434,1167,0,0,False,shortcut,shortcut,shortcut,shortcut,click,click
3423,participant_48,3,7,19,543,shortcut,F,1567811384213,1567811385847,1567811385847,1665,66,1731,1634,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
3425,participant_48,3,7,20,545,shortcut,W,1567811388613,1567811389983,1567811389983,4070,1468,5538,1370,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
3429,participant_48,3,7,22,549,shortcut,Q,1567811395880,1567811397581,1567811397581,3333,1469,4802,1701,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
3431,participant_48,3,7,23,551,shortcut,Y,1567811399084,1567811400714,1567811400714,1664,1438,3102,1630,0,0,False,shortcut,shortcut,shortcut,shortcut,click,click
3433,participant_48,3,7,24,553,shortcut,H,1567811402185,1567811403483,1567811403483,1331,1535,2866,1298,0,0,False,shortcut,shortcut,shortcut,shortcut,click,click
3435,participant_48,3,7,25,555,shortcut,A,1567811405049,1567811406618,1567811406618,1600,167,1767,1569,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
3437,participant_48,3,7,26,557,shortcut,W,1567811408482,1567811409847,1567811409847,3062,1301,4363,1365,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
3439,participant_48,3,7,27,559,shortcut,H,1567811411181,1567811412448,1567811412448,1300,100,1400,1267,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
3441,participant_48,3,7,28,561,shortcut,J,1567811415517,1567811416718,1567811416718,4170,65,4235,1201,0,0,False,shortcut,shortcut,shortcut,shortcut,word,word
3443,participant_48,3,7,29,563,shortcut,B,1567811418682,1567811420214,1567811420214,3431,1670,5101,1532,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
3445,participant_48,3,7,30,565,shortcut,R,1567811421917,1567811423115,1567811423115,1231,103,1334,1198,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
3447,participant_48,3,7,31,567,shortcut,H,1567811425215,1567811426348,1567811426348,3130,67,3197,1133,0,0,False,shortcut,shortcut,shortcut,shortcut,word,word
3449,participant_48,3,7,32,569,shortcut,O,1567811429117,1567811430415,1567811430415,4000,1433,5433,1298,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
3451,participant_48,3,7,33,571,shortcut,B,1567811431884,1567811433149,1567811433149,1301,99,1400,1265,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
3455,participant_48,3,7,35,575,shortcut,U,1567811443185,1567811444353,1567811444353,1201,0,1201,1168,0,0,False,shortcut,shortcut,shortcut,shortcut,click,click
3457,participant_48,4,8,0,577,posture,Left_Close_0_On,1567811456417,1567811457696,1567811457696,1311,1190,2501,1279,27,0,False,On,0,Close,Non Dominant,click,word
3459,participant_48,4,8,1,579,posture,Left_Close_0_Below,1567811460183,1567811461463,1567811461463,2577,1219,3796,1280,19,8,False,Below,0,Close,Non Dominant,word,click
3461,participant_48,4,8,2,581,posture,Left_Close_0_Beside,1567811462719,1567811463998,1567811463998,1316,1185,2501,1279,28,0,False,Beside,0,Close,Non Dominant,click,word
3463,participant_48,4,8,3,583,posture,Left_Close_90_On,1567811465982,1567811467065,1567811467065,1882,1088,2970,1083,29,0,False,On,90,Close,Non Dominant,word,word
3465,participant_48,4,8,4,585,posture,Left_Close_90_Below,1567811469386,1567811470430,1567811470430,2277,1389,3666,1044,17,0,False,Below,90,Close,Non Dominant,word,click
3467,participant_48,4,8,5,587,posture,Left_Close_90_Beside,1567811471853,1567811472964,1567811472964,1145,1155,2300,1111,28,0,False,Beside,90,Close,Non Dominant,click,word
3469,participant_48,4,8,6,589,posture,Left_Close_180_On,1567811475083,1567811476427,1567811476427,2308,1560,3868,1344,19,12,False,On,180,Close,Non Dominant,word,click
3471,participant_48,4,8,7,591,posture,Left_Close_180_Below,1567811478018,1567811479229,1567811479229,1242,1624,2866,1211,25,9,False,Below,180,Close,Non Dominant,click,click
3473,participant_48,4,8,8,593,posture,Left_Close_180_Beside,1567811480886,1567811482064,1567811482064,1211,1290,2501,1178,33,0,False,Beside,180,Close,Non Dominant,click,word
3475,participant_48,4,8,9,595,posture,Left_Open_0_On,1567811484253,1567811485430,1567811485430,2076,1325,3401,1177,29,0,False,On,0,Open,Non Dominant,word,word
3477,participant_48,4,8,10,597,posture,Left_Open_0_Below,1567811487516,1567811488767,1567811488767,2012,1320,3332,1251,27,5,False,Below,0,Open,Non Dominant,word,click
3479,participant_48,4,8,11,599,posture,Left_Open_0_Beside,1567811490119,1567811491299,1567811491299,1212,990,2202,1180,25,0,False,Beside,0,Open,Non Dominant,click,word
3481,participant_48,4,8,12,601,posture,Left_Open_90_On,1567811493253,1567811494230,1567811494230,1941,1288,3229,977,18,4,False,On,90,Open,Non Dominant,word,click
3483,participant_48,4,8,13,603,posture,Left_Open_90_Below,1567811495553,1567811496499,1567811496499,981,1153,2134,946,29,0,False,Below,90,Open,Non Dominant,click,word
3485,participant_48,4,8,14,605,posture,Left_Open_90_Beside,1567811498321,1567811499329,1567811499329,1677,1489,3166,1008,23,4,False,Beside,90,Open,Non Dominant,word,click
3487,participant_48,4,8,15,607,posture,Left_Open_180_On,1567811500853,1567811501830,1567811501830,1012,1022,2034,977,15,13,False,On,180,Open,Non Dominant,click,word
3491,participant_48,4,8,17,611,posture,Left_Open_180_Beside,1567811507353,1567811508761,1567811508761,2208,1457,3665,1408,23,9,False,Beside,180,Open,Non Dominant,word,click
3495,participant_48,4,8,19,615,posture,Right_Close_0_Below,1567811514487,1567811515662,1567811515662,1208,1058,2266,1175,29,0,False,Below,0,Close,Dominant,click,word
3497,participant_48,4,8,20,617,posture,Right_Close_0_Beside,1567811517821,1567811518999,1567811518999,2279,1354,3633,1178,24,3,False,Beside,0,Close,Dominant,word,click
3499,participant_48,4,8,21,619,posture,Right_Close_90_On,1567811520387,1567811521762,1567811521762,1409,960,2369,1375,22,8,False,On,90,Close,Dominant,click,word
3501,participant_48,4,8,22,621,posture,Right_Close_90_Below,1567811523552,1567811524696,1567811524696,1974,1425,3399,1144,24,0,False,Below,90,Close,Dominant,word,click
3505,participant_48,4,8,24,625,posture,Right_Close_180_On,1567811530283,1567811531565,1567811531565,1310,1656,2966,1282,25,8,False,On,180,Close,Dominant,click,click
3507,participant_48,4,8,25,627,posture,Right_Close_180_Below,1567811533250,1567811534530,1567811534530,1309,1056,2365,1280,22,4,False,Below,180,Close,Dominant,click,word
3509,participant_48,4,8,26,629,posture,Right_Close_180_Beside,1567811537152,1567811538300,1567811538300,2714,1555,4269,1148,15,15,False,Beside,180,Close,Dominant,word,click
3511,participant_48,4,8,27,631,posture,Right_Open_0_On,1567811539887,1567811541064,1567811541064,1209,1290,2499,1177,28,0,False,On,0,Open,Dominant,click,word
3513,participant_48,4,8,28,633,posture,Right_Open_0_Below,1567811543487,1567811544632,1567811544632,2278,1119,3397,1145,31,0,False,Below,0,Open,Dominant,word,word
3515,participant_48,4,8,29,635,posture,Right_Open_0_Beside,1567811547487,1567811548632,1567811548632,2881,1790,4671,1145,14,12,False,Beside,0,Open,Dominant,word,click
3517,participant_48,4,8,30,637,posture,Right_Open_90_On,1567811550453,1567811551602,1567811551602,1180,1087,2267,1149,24,4,False,On,90,Open,Dominant,click,word
3519,participant_48,4,8,31,639,posture,Right_Open_90_Below,1567811553519,1567811554632,1567811554632,1943,1089,3032,1113,9,8,False,Below,90,Open,Dominant,word,word
3521,participant_48,4,8,32,641,posture,Right_Open_90_Beside,1567811556588,1567811558002,1567811558002,2281,1553,3834,1414,20,4,False,Beside,90,Open,Dominant,word,click
3525,participant_48,4,8,34,645,posture,Right_Open_180_Below,1567811562721,1567811563899,1567811563899,2177,1422,3599,1178,26,6,False,Below,180,Open,Dominant,word,click
3527,participant_48,4,8,35,647,posture,Right_Open_180_Beside,1567811565354,1567811566534,1567811566534,1213,0,1213,1180,23,8,False,Beside,180,Open,Dominant,click,click
3529,participant_48,4,9,0,649,shortcut,J,1567811572722,1567811574119,1567811574119,1429,68,1497,1397,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
3533,participant_48,4,9,2,653,shortcut,up,1567811579352,1567811580557,1567811580557,1236,264,1500,1205,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
3535,participant_48,4,9,3,655,shortcut,V,1567811584822,1567811586456,1567811586456,5635,65,5700,1634,0,0,False,shortcut,shortcut,shortcut,shortcut,word,word
3539,participant_48,4,9,5,659,shortcut,M,1567811592857,1567811594122,1567811594122,1301,66,1367,1265,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
3541,participant_48,4,9,6,661,shortcut,down,1567811596353,1567811597590,1567811597590,3402,1765,5167,1237,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
3543,participant_48,4,9,7,663,shortcut,B,1567811599390,1567811600922,1567811600922,1567,1501,3068,1532,0,0,False,shortcut,shortcut,shortcut,shortcut,click,click
3545,participant_48,4,9,8,665,shortcut,D,1567811602457,1567811603723,1567811603723,1300,101,1401,1266,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
3547,participant_48,4,9,9,667,shortcut,H,1567811605723,1567811607055,1567811607055,3231,66,3297,1332,0,0,False,shortcut,shortcut,shortcut,shortcut,word,word
3551,participant_48,4,9,11,671,shortcut,R,1567811614257,1567811615324,1567811615324,1100,131,1231,1067,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
3553,participant_48,4,9,12,673,shortcut,left,1567811617856,1567811618858,1567811618858,3403,2134,5537,1002,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
3555,participant_48,4,9,13,675,shortcut,T,1567811621024,1567811622290,1567811622290,1298,134,1432,1266,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
3557,participant_48,4,9,14,677,shortcut,T,1567811624191,1567811625292,1567811625292,2868,1732,4600,1101,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
3559,participant_48,4,9,15,679,shortcut,M,1567811627058,1567811628392,1567811628392,1368,101,1469,1334,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
3561,participant_48,4,9,16,681,shortcut,W,1567811630321,1567811631725,1567811631725,3232,67,3299,1404,0,0,False,shortcut,shortcut,shortcut,shortcut,word,word
3563,participant_48,4,9,17,683,shortcut,H,1567811633824,1567811635121,1567811635121,3329,1704,5033,1297,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
3565,participant_48,4,9,18,685,shortcut,J,1567811636858,1567811637990,1567811637990,1165,1233,2398,1132,0,0,False,shortcut,shortcut,shortcut,shortcut,click,click
3567,participant_48,4,9,19,687,shortcut,Y,1567811639256,1567811640792,1567811640792,1569,98,1667,1536,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
3569,participant_48,4,9,20,689,shortcut,left,1567811643123,1567811644188,1567811644188,3298,1502,4800,1065,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
3571,participant_48,4,9,21,691,shortcut,M,1567811645724,1567811646758,1567811646758,1068,65,1133,1034,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
3573,participant_48,4,9,22,693,shortcut,R,1567811649156,1567811650490,1567811650490,3667,1900,5567,1334,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
3575,participant_48,4,9,23,695,shortcut,Q,1567811652425,1567811653925,1567811653925,1535,1430,2965,1500,0,0,False,shortcut,shortcut,shortcut,shortcut,click,click
3577,participant_48,4,9,24,697,shortcut,O,1567811655389,1567811656560,1567811656560,1205,1232,2437,1171,0,0,False,shortcut,shortcut,shortcut,shortcut,click,click
3579,participant_48,4,9,25,699,shortcut,P,1567811657826,1567811659425,1567811659425,1633,65,1698,1599,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
3581,participant_48,4,9,26,701,shortcut,right,1567811661722,1567811662826,1567811662826,3336,1533,4869,1104,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
3583,participant_48,4,9,27,703,shortcut,U,1567811664389,1567811665593,1567811665593,1234,67,1301,1204,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
3585,participant_48,4,9,28,705,shortcut,D,1567811668460,1567811669592,1567811669592,3932,100,4032,1132,0,0,False,shortcut,shortcut,shortcut,shortcut,word,word
3587,participant_48,4,9,29,707,shortcut,Q,1567811673194,1567811674727,1567811674727,5035,1565,6600,1533,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
3591,participant_48,4,9,31,711,shortcut,B,1567811682659,1567811683990,1567811683990,4863,67,4930,1331,0,0,False,shortcut,shortcut,shortcut,shortcut,word,word
3593,participant_48,4,9,32,713,shortcut,C,1567811686657,1567811688060,1567811688060,4003,1934,5937,1403,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
