,Participant,Block,Sequence,Sub_Sequence,Trial,Target_Type,Target_Name,Start_Time,End_Time,First_Reaction_Time,Mode_In_Time,Mode_Out_Time,Execution_Time,Completion_Time,Reference_Action_Count,Incorrect_Action_Count,Error,IV_Surface,IV_Orientation,IV_Form,IV_Hand,Previous_Reference_Task,Next_Reference_Task
229,participant_31,1,3,6,229,shortcut,W,1567119529364,1567119531132,1567119531132,3734,1267,5001,1768,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
231,participant_31,1,3,7,231,shortcut,H,1567119532432,1567119534333,1567119534333,1934,1096,3030,1901,0,0,False,shortcut,shortcut,shortcut,shortcut,click,click
235,participant_31,1,3,9,235,shortcut,X,1567119541299,1567119543099,1567119543099,5101,66,5167,1800,0,0,False,shortcut,shortcut,shortcut,shortcut,word,word
237,participant_31,1,3,10,237,shortcut,N,1567119545397,1567119547698,1567119547698,4533,1635,6168,2301,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
239,participant_31,1,3,11,239,shortcut,Y,1567119549364,1567119551064,1567119551064,1731,101,1832,1700,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
241,participant_31,1,3,12,241,shortcut,W,1567119553699,1567119555832,1567119555832,4667,1567,6234,2133,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
243,participant_31,1,3,13,243,shortcut,right,1567119557433,1567119559129,1567119559129,1730,140,1870,1696,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
245,participant_31,1,3,14,245,shortcut,C,1567119561863,1567119563800,1567119563800,4531,1433,5964,1937,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
247,participant_31,1,3,15,247,shortcut,L,1567119565264,1567119567466,1567119567466,2233,67,2300,2202,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
249,participant_31,1,3,16,249,shortcut,M,1567119569964,1567119571733,1567119571733,4200,98,4298,1769,0,0,False,shortcut,shortcut,shortcut,shortcut,word,word
253,participant_31,1,3,18,253,shortcut,W,1567119578998,1567119581297,1567119581297,2331,1436,3767,2299,0,0,False,shortcut,shortcut,shortcut,shortcut,click,click
255,participant_31,1,3,19,255,shortcut,P,1567119582766,1567119584768,1567119584768,2035,65,2100,2002,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
